SEQN,Gender,Age,BodyWeight
94317,M,10,28.7
94318,F,3,15.3
94319,M,44,78.6
94320,M,33,64.2
94321,M,60,89.2
94322,M,20,74
94323,M,60,74.3
94324,F,50,79.4
94325,F,62,96.3
94326,M,55,95.9
94327,M,61,NA
94328,F,29,46.7
94329,F,6,28.2
94330,F,57,89
94331,F,4,16.4
94332,F,41,NA
94333,M,0,11.6
94334,F,65,NA
94335,M,69,73.2
94336,M,74,78.5
94337,M,44,138.2
94338,F,4,30.2
94339,M,37,83.4
94340,M,25,121.1
94341,M,24,94.9
94342,F,57,89
94343,M,71,100.6
94344,F,8,24.3
94345,M,65,133.5
94346,M,0,8.2
94347,F,0,6.6
94348,M,80,123.9
94349,M,17,55.6
94350,M,54,83.6
94351,M,14,64.5
94352,F,70,76.8
94353,F,19,50.4
94354,F,10,55.4
94355,M,2,13.8
94356,M,58,91.3
94357,M,8,28.7
94358,M,0,9.5
94359,M,36,83.8
94360,M,44,101.5
94361,F,38,78.2
94362,M,79,69.4
94363,F,73,NA
94364,F,19,75.9
94365,M,22,54.5
94366,M,25,78.9
94367,F,9,24.7
94368,F,33,65.9
94369,M,2,12.6
94370,M,0,7.1
94371,F,10,53.5
94372,M,68,113.8
94373,F,80,64.6
94374,F,52,84.3
94375,F,30,55.4
94376,M,66,82.7
94377,M,33,165.1
94378,M,13,39.4
94379,F,24,71.8
94380,M,63,86.4
94381,F,80,74
94382,F,32,51.7
94383,F,4,26.3
94384,F,0,11.2
94385,F,48,72.5
94386,F,71,100
94387,F,39,131.9
94388,F,33,90.6
94389,M,4,15.6
94390,F,72,84.6
94391,M,1,11.6
94392,M,25,83.3
94393,M,36,81.5
94394,F,18,101
94395,M,19,96.6
94396,F,15,45.4
94397,M,0,5.3
94398,F,39,84.7
94399,F,62,79.9
94400,F,6,17.8
94401,M,57,67.5
94402,M,10,64.3
94403,F,7,19.4
94404,F,80,54.6
94405,F,39,78.6
94406,F,34,121.2
94407,F,76,81.7
94408,M,72,58.9
94409,M,23,59
94410,F,80,70.2
94411,M,13,58.6
94412,M,80,68.9
94413,M,16,79.1
94414,M,32,118.1
94415,M,37,65.3
94416,F,28,105.4
94417,F,3,14.6
94418,F,76,84.2
94419,F,10,27.6
94420,F,80,80.2
94421,F,75,53
94422,F,2,15.2
94423,M,18,61
94424,F,75,68.1
94425,F,75,74.9
94426,F,0,9.2
94427,F,49,89.8
94428,M,60,113.2
94429,M,61,126
94430,F,25,155.4
94431,M,47,163
94432,F,71,94.5
94433,M,46,118.1
94434,F,26,68.6
94435,M,1,10.6
94436,F,31,94.5
94437,M,1,13.1
94438,M,80,74.1
94439,F,7,20.8
94440,F,0,7.6
94441,M,12,61.2
94442,M,60,NA
94443,M,32,75
94444,F,78,123.5
94445,M,53,74.6
94446,F,28,87.4
94447,M,15,47.8
94448,M,41,105.1
94449,M,1,14.7
94450,M,30,105.1
94451,F,4,15.7
94452,F,58,NA
94453,F,20,85.8
94454,M,1,12.3
94455,F,10,38.6
94456,F,16,92.2
94457,F,46,67.7
94458,M,56,107.2
94459,F,52,130
94460,F,61,67.6
94461,F,19,65.7
94462,F,12,53.2
94463,F,26,111.9
94464,M,77,125.1
94465,M,31,106.2
94466,M,1,9.1
94467,F,18,56.3
94468,F,0,5.1
94469,F,37,103.3
94470,M,64,84.7
94471,F,42,76.5
