source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0
product,VE.0300.010,auto air freshener,aerosol,0.166666667,6,0,0,0,1,0,1,1,0,0,0
product,VE.0300.010,auto air freshener,gel,0.166666667,6,0,0,0,1,0,0,1,0,0,0
product,VE.0300.010,auto air freshener,liquid,0.166666667,6,0,0,0,1,0,0,1,0,0,0
product,VE.0300.010,auto air freshener,solid,0.166666667,6,0,0,0,1,0,0,1,0,0,0
product,VE.0400.010,body cleaner,liquid,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0400.010,body cleaner,paste,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0400.010,body cleaner,pump spray,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,VE.0400.020,body wax,liquid,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0400.020,body wax,paste,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0400.030,combination product,liquid,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0400.030,combination product,paste,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0400.040,degreaser,liquid,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0400.040,degreaser,aerosol,0.5,2,0,0,0,1,0,1,1,0,0,0
product,VE.0400.050,other,liquid,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0400.050,other,paste,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0400.050,other,pump spray,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,VE.0500.010,antifreeze,liquid,1,1,0,0,0,1,0,0,1,0,0,0
product,VE.0500.020,auto fluids and additives,aerosol,0.5,2,0,0,0,1,0,1,1,0,0,0
product,VE.0500.020,auto fluids and additives,liquid,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0500.030,auto lubricant,gel,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0500.030,auto lubricant,liquid,0.5,2,0,0,0,1,0,0,1,0,0,0
product,VE.0500.040,auto refrigerant,gas,1,1,0,0,0,1,0,0,1,0,0,0
product,VE.0500.050,motor oil,liquid,1,1,0,0,0,1,0,0,1,0,0,0
product,CP.0100.010,air freshener,candle,0.166666667,6,1,0,0,1,0,0,1,0,1,0
product,HM.1400.010,paint,exterior,0.25,4,0,0,0,1,0,0,1,1,0,0
product,HM.1400.010,paint,interior,0.25,4,1,0,0,1,0,0,1,1,1,0
product,HM.1400.012,water-based paint,foam spray,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,HM.1400.050,primer,foam spray,0.333333333,3,1,0,0,1,0,1,1,1,1,0
product,LY.0400.010,lawn fertilizer,granules,0.2,5,0,0,0,1,0,0,1,0,0,0
product,PC.1200.030,face mask,solid,0.25,4,1,0,0,1,0,0,1,1,1,0
product,PE.0100.010,animal repellent,foam spray,0.2,5,0,0,0,1,0,1,1,0,0,0
product,PE.0400.010,insecticide,granules,0.125,8,1,0,0,1,0,0,1,1,1,0
product,VE.0300.010,auto air freshener,foam spray,0.166666667,6,0,0,0,1,0,1,1,0,0,0
product,VE.0300.010,auto air freshener,in vehicle,0.166666667,6,0,0,0,1,0,0,1,0,0,0
product,HM.1400.050,primer,interior,0.25,4,1,0,0,1,0,1,1,1,1,0
