source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0,row.num
product,PC.1900.010,hair bleach,powder,0.25,4,1,0,0,1,0,0,1,1,1,0,398
product,PC.1900.020,hair color,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,399
product,PC.1900.020,hair color,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,400
product,PC.1900.020,hair color,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,401
product,PC.1900.020,hair color,powder,0.25,4,1,0,0,1,0,0,1,1,1,0,402
product,PC.1900.030,hair color - permanent,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,403
product,PC.1900.030,hair color - permanent,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,404
product,PC.1900.030,hair color - permanent,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,405
product,PC.1900.030,hair color - permanent,powder,0.25,4,1,0,0,1,0,0,1,1,1,0,406
product,PC.1900.040,hair color - professional,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,407
product,PC.1900.040,hair color - professional,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,408
product,PC.1900.040,hair color - professional,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,409
product,PC.1900.040,hair color - professional,powder,0.25,4,1,0,0,1,0,0,1,1,1,0,410
product,PC.1900.050,hair color - temporary,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,411
product,PC.1900.050,hair color - temporary,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0,412
product,PC.1900.050,hair color - temporary,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,413
product,PC.1900.050,hair color - temporary,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,414
product,PC.1900.050,hair color - temporary,powder,0.2,5,1,0,0,1,0,0,1,1,1,0,415
product,PC.1900.060,hair color activator,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,416
product,PC.1900.060,hair color activator,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,417
product,PC.1900.060,hair color activator,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,418
product,PC.1900.070,hair color developer,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,419
product,PC.1900.070,hair color developer,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,420
product,PC.1900.070,hair color developer,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,421
product,PC.1900.080,hair color toner,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,422
product,PC.1900.080,hair color toner,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,423
product,PC.1900.080,hair color toner,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,424
product,PC.1900.080,hair color toner,powder,0.25,4,1,0,0,1,0,0,1,1,1,0,425
